Model,Year,Brand,Kms_driven,Price
Bajaj Pulsar 150,2017,Bajaj,31000,40000 
Royal Enfield Classic 350,2017,Royal Enfield,22000,130000 
Royal Enfield Classic 350,2018,Royal Enfield,8000,120000 
Royal Enfield Classic 350,2018,Royal Enfield,17709,160000 
Royal Enfield Classic 350,2019,Royal Enfield,3300,160000 
KTM RC 390,2020,KTM,7500,235000 
Hero Hunk,2013,Hero,17000,35000 
Royal Enfield Classic 350,2019,Royal Enfield,15000,180000 
Royal Enfield Classic 350,2019,Royal Enfield,15000,180000 
KTM RC 200,2015,KTM,1500,185000 
KTM RC 200,2015,KTM,1500,185000 
Yamaha FZ S,2014,Yamaha,20000,55000 
Honda Activa 3G,2016,Honda,73740,24500 
Jawa Original,2020,Jawa,5000,210000 
Yamaha SZ R,2012,Yamaha,24700,26000 
Yamaha YZF R15,2013,Yamaha,7500,68000 
Yamaha FZ 25,2018,Yamaha,22000,98000 
Yamaha FZ 25,2022,Yamaha,500,160000 
Jawa 42,2020,Jawa,5700,160000 
Royal Enfield Thunderbird 350,2011,Royal Enfield,20000,80000 
KTM RC 200,2017,KTM,11000,135000 
Bajaj Platina 100,2018,Bajaj,37000,45000 
Royal Enfield Thunderbird 350X,2019,Royal Enfield,6400,125000 
Royal Enfield Bullet 350,2016,Royal Enfield,23000,95000 
Royal Enfield Classic 350,2008,Royal Enfield,7500,100000 
Royal Enfield Classic 350,2008,Royal Enfield,7500,100000 
Bajaj Pulsar 200 NS,2017,Bajaj,46000,75000 
Bajaj Avenger Cruise 220,2020,Bajaj,5600,100000 
Bajaj Pulsar 135 LS,2016,Bajaj,19000,35000 
Hero Hunk,2010,Hero,35000,
Jawa 42,2020,Jawa,28088,115000 
Honda Activa 5G,2019,Honda,9165,55000 
Hero Passion X Pro,2019,Hero,15000,50000 
Hero Passion X Pro,2014,Hero,50900,27000 
Bajaj Dominar 400,2018,Bajaj,31000,110000 
Suzuki Gixxer SF,2015,Suzuki,21200,50000 
Suzuki Gixxer SF,2015,Suzuki,21200,50000 
Hero Duet,2017,Hero,3000,35000 
Honda CBR 250R,2014,Honda,30500,100000 
Honda CBR 250R,2014,Honda,30500,100000 
Royal Enfield Bullet 350,2014,Royal Enfield,38152,100000 
Bajaj Pulsar 150,2019,Bajaj,41000,50000 
Harley Davidson Street 750,2015,Harley,9000,399000 
Harley Davidson Street 750,2015,Harley,9000,399000 
Honda Aviator,2020,Honda,1600,68000 
Yamaha YZF R15,2018,Yamaha,38000,115000 
Honda Aviator,2020,Honda,1600,68000 
Bajaj Avenger,2009,Bajaj,2200,99999 
Honda Activa 3G,2014,Honda,25000,25000 
Bajaj Pulsar 150,2016,Bajaj,18000,60000 
Bajaj Pulsar 150,2016,Bajaj,18000,60000 
Honda Dream Neo,2014,Honda,21000,30000 
Hero Splendor Plus,2020,Hero,21000,65000 
Honda Dream Yuga,2013,Honda,57071,25000 
Bajaj Avenger Cruise 220,2017,Bajaj,19000,80000 
Bajaj Pulsar 180 DTS,2009,Bajaj,40000,17500 
TVS Jupiter,2019,TVS,9200,60000 
Bajaj Avenger,2009,Bajaj,25000,12000 
Bajaj Avenger,2009,Bajaj,25000,12000 
Royal Enfield Classic Squadron,2019,Royal Enfield,11000,135000 
Yamaha R1,2021,Yamaha,15000,
Harley Davidson Street 750,2015,Harley,4000,300000 
Honda Aviator,2010,Honda,17800,29000 
Hero Passion Pro,2019,Hero,20425,53000 
Royal Enfield Himalayan,2016,Royal Enfield,17000,120000 
Honda CB Shine,2018,Honda,20000,57999 
Royal Enfield Classic Desert,2022,Royal Enfield,500,221000 
TVS Apache RTR 160,2020,TVS,13451,70000 
Yamaha YZF R15,2014,Yamaha,36000,70000 
YO Bikes Yo Smart,2022,YO Bikes,9500,75000 
Yamaha SZ R,2012,Yamaha,16000,22000 
Royal Enfield Bullet Electra,2008,Royal Enfield,60000,60000 
TVS Star Sport,2012,TVS,22580,20000 
Royal Enfield Bullet 500,2018,Royal Enfield,17955,130000 
TVS Scooty Pep Plus,2022,TVS,300,65000 
Royal Enfield Classic 500,2016,Royal Enfield,14000,148000 
TVS Jupiter,2019,TVS,37000,45000 
Mahindra Centuro,2013,Mahindra,24600,25000 
Mahindra Centuro,2013,Mahindra,24600,25000 
Ather Energy Ather 450,2022,Ather,0,50000 
BMW F650,2020,BMW,1600,275000 
Royal Enfield Bullet Electra,2018,Royal Enfield,16700,105000 
TVS Apache RTR 180,2011,TVS,46095,23000 
TVS Apache RTR 180,2011,TVS,46095,23000 
TVS Apache RTR 160,2020,TVS,15608,110000 
Bajaj Pulsar 150 DTS,2012,Bajaj,36619,40000 
Royal Enfield Bullet Electra,2011,Royal Enfield,29900,60000 
Honda Activa,2022,Honda,750,80000 
Yamaha FZ S,2015,Yamaha,32000,43000 
Royal Enfield Bullet Electra,2018,Royal Enfield,10000,100000 
Hero Passion Pro,2021,Hero,3700,65000 
Honda Activa 3G,2016,Honda,30000,30000 
Royal Enfield Bullet Electra,2018,Royal Enfield,10000,100000 
Bajaj Dominar 400,2018,Bajaj,5200,130000 
Bajaj Discover 100 T,2018,Bajaj,29000,50000 
Bajaj Discover 100 T,2018,Bajaj,27800,50000 
Hero HF Deluxe,2021,Hero,160000,50000 
Bajaj CT 100,2016,Bajaj,30000,30000 
Jawa 42,2021,Jawa,2100,210000 
Suzuki Burgman Street,2019,Suzuki,32000,65000 
Honda CBR 250R,2016,Honda,22000,85000 
Bajaj Chetak,2001,Bajaj,50000,7000 
Bajaj Pulsar 200 RS,2016,Bajaj,24000,65000 
TVS Apache RTR 160,2022,TVS,20000,95000 
Bajaj Vikrant V15,2016,Bajaj,30000,40000 
TVS Apache RTR 180,2014,TVS,42000,
Royal Enfield Classic 350,2015,Royal Enfield,21000,90000 
Yezdi Classic,2022,Yezdi,2900,249500 
Yamaha FZ S,2015,Yamaha,63000,55000 
Bajaj Pulsar 150,2018,Bajaj,10000,79999 
Yamaha FZ 6,2021,Yamaha,4200,120000 
Yamaha FZ 6,2021,Yamaha,4200,120000 
KTM RC 200,2016,KTM,9500,120000 
Bajaj Avenger,2016,Bajaj,25000,45000 
Bajaj Avenger,2016,Bajaj,25000,45000 
Royal Enfield Classic 350,2013,Royal Enfield,16000,85000 
Suzuki Access 125 Disc,2021,Suzuki,35000,75000 
Hero Destini 125,2022,Hero,2900,65000 
Hero Destini 125,2022,Hero,2900,65000 
Bajaj Pulsar 200 NS,2013,Bajaj,27500,43000 
LML Piaggio Vespa,2014,LML,70000,25000 
Royal Enfield Classic 500,2018,Royal Enfield,39300,161000 
Yamaha FZ S,2017,Yamaha,22000,52000 
Royal Enfield Classic 350,2019,Royal Enfield,35000,140000 
Indian Chief Classic,2021,Indian,500,50000 
Royal Enfield Bullet 350,2015,Royal Enfield,25000,100000 
Royal Enfield Bullet 350,2015,Royal Enfield,25000,100000 
Yamaha YZF R15,2019,Yamaha,15775,139600 
TVS Apache RTR 200,2017,TVS,29000,72000 
Bajaj Vikrant V15,2016,Bajaj,40000,35000 
Honda CB Unicorn Dazzler,2011,Honda,32000,28000 
TVS Ntorq 125,2019,TVS,15000,50000 
Honda Livo,2016,Honda,70000,40000 
Royal Enfield Himalayan,2022,Royal Enfield,1450,215000 
Hero Pleasure,2015,Hero,13000,35000 
Bajaj Avenger Street 150,2016,Bajaj,24300,44000 
Royal Enfield Thunderbird 350X,2018,Royal Enfield,4000,145000 
Honda Activa,2021,Honda,7300,75000 
Bajaj Avenger Street 160,2019,Bajaj,6400,80000 
Bajaj Pulsar 150 DTS,2018,Bajaj,49000,85000 
Bajaj Pulsar 150,2018,Bajaj,13500,65000 
Bajaj Pulsar 125,2022,Bajaj,7500,80000 
Bajaj Pulsar 125,2022,Bajaj,7500,80000 
Royal Enfield Interceptor 650,2019,Royal Enfield,16750,210000 
Royal Enfield Interceptor 650,2021,Royal Enfield,3000,321000 
Royal Enfield Interceptor 650,2021,Royal Enfield,3000,321000 
Royal Enfield Classic 350,2021,Royal Enfield,2722,190000 
TVS Wego,2014,TVS,4000,35000 
Mahindra Centuro,2013,Mahindra,40000,22500 
Mahindra Centuro,2014,Mahindra,75750,23000 
Royal Enfield Classic 350,2018,Royal Enfield,29000,129000 
Bajaj Pulsar 200 RS,2020,Bajaj,8888,145000 
TVS Apache RTR 160,2018,TVS,13500,70000 
Yamaha FZ1,2018,Yamaha,24500,70000 
Yamaha FZ1,2018,Yamaha,24500,70000 
Royal Enfield Bullet 350,2011,Royal Enfield,33230,70000 
TVS Apache RTR 160,2021,TVS,9982,120000 
Yamaha SZ RR,2014,Yamaha,35000,38000 
Royal Enfield Thunderbird 350,2011,Royal Enfield,34000,60000 
Hero Maestro,2015,Hero,20000,35000 
Hero CBZ Xtreme,2015,Hero,64000,33000 
TVS Apache RTR 200,2020,TVS,7200,120000 
Royal Enfield Classic 500,2012,Royal Enfield,12500,160000 
Suzuki Access,2019,Suzuki,14532,50000 
Bajaj Discover 150 S,2015,Bajaj,50000,30000 
Yamaha FZ S,2016,Yamaha,24561,60000 
Yamaha FZ16,2014,Yamaha,50000,40000 
Royal Enfield Classic 350,2012,Royal Enfield,50000,85000 
Royal Enfield Thunderbird 350,2013,Royal Enfield,18000,75000 
TVS Ntorq 125,2021,TVS,2000,90000 
TVS Ntorq 125,2021,TVS,2000,90000 
Royal Enfield Bullet Electra,2010,Royal Enfield,62000,80000 
Hero Super Splendor,2022,Hero,833,88000 
Suzuki Access,2019,Suzuki,14532,50000 
Hero Ignitor,2012,Hero,66000,22000 
Royal Enfield Interceptor 650,2019,Royal Enfield,14500,260000 
Yamaha YZF R15,2015,Yamaha,24900,70000 
Aprilia SR 150,2017,Aprilia,24000,55000 
Yamaha YZF R15,2017,Yamaha,24000,85000 
Suzuki Intruder 150,2018,Suzuki,22000,70000 
KTM RC 200,2015,KTM,13000,130000 
Yamaha YZF R15,2020,Yamaha,7000,130000 
Royal Enfield Bullet Electra,2017,Royal Enfield,22000,110000 
Royal Enfield Bullet Electra,2008,Royal Enfield,75000,75000 
Hero Xpulse 200,2020,Hero,7500,120000 
Royal Enfield Classic 350,2017,Royal Enfield,10000,120000 
Honda Activa 125,2020,Honda,21000,60000 
Suzuki Heat,2006,Suzuki,29500,16000 
Royal Enfield Desert Storm,2015,Royal Enfield,2083,140000 
Yamaha YZF R15,2019,Yamaha,13680,130000 
Bajaj Avenger,2013,Bajaj,77774,21000 
