Model,Year,Brand,Kms_driven,Fuel_type,Price
Jaguar XF 2.2,2015,Jaguar,50000, Diesel ,2475000
Renault Kwid RXT,2016,Renault,16197, Petrol ,322999
Maruti Suzuki Baleno,2021,Maruti,15011, Petrol ,707799
Hyundai Creta,2015,Hyundai,63076, Diesel ,829599
Hyundai Creta,2017,Hyundai,89306, Petrol ,920599
Hyundai Grand i10,2015,Hyundai,31093, Petrol ,453399
Volkswagen Polo,2019,Volkswagen,11585, Petrol ,693499
Maruti Suzuki Baleno,2019,Maruti,9064, Petrol ,764999
Hyundai Grand i10,2016,Hyundai,32513, Petrol ,455299
Hyundai Grand i10,2019,Hyundai,8885, Petrol ,595399
Maruti Suzuki Ignis,2017,Maruti,31221, Petrol ,437199
Skoda Rapid,2020,Skoda,47027, Petrol ,870599
Maruti Suzuki XL6,2019,Maruti,100003, Petrol ,869299
Maruti Suzuki Alto,2020,Maruti,11049, Petrol ,391299
Maruti Suzuki Swift,2016,Maruti,24277, Petrol ,430999
Hyundai Grand i10,2016,Hyundai,50777, Petrol ,391199
Hyundai Creta,2016,Hyundai,27312, Petrol ,845499
Maruti Suzuki Maruti,2003,Maruti,63000, Petrol,89000
Maruti Suzuki Ertiga,2016,Maruti,175000, Diesel ,745000
Maruti Suzuki Ertiga,2020,Maruti,76500, CNG,645000
Mahindra XUV 300,2022,Mahindra,6800, Petrol,1305000
Hyundai Grand i10,2017,Hyundai,12007, Petrol,545000
Maruti Suzuki Wagon,2016,Maruti,14000, Petrol ,385000
Maruti Suzuki SX4,2007,Maruti,45000, Petrol,170000
Maruti Suzuki Alto,2011,Maruti,95000, Petrol,120000
Maruti Suzuki Ignis,2021,Maruti,1388, Petrol ,775799
Tata Tiago,2021,Tata,964, Petrol ,718499
Hyundai Grand i10,2018,Hyundai,16801, Petrol ,494999
MG Motors Hector,2019,MG,51103, Diesel ,1648699
Tata Harrier,2019,Tata,49409, Diesel ,1534899
Maruti Suzuki Dzire,2017,Maruti,54000, Petrol ,670299
Maruti Suzuki Wagon,2012,Maruti,46633, Petrol + CNG ,302499
Maruti Suzuki Dzire,2020,Maruti,22350, Petrol ,696199
Hyundai i10 Sportz,2012,Hyundai,34541, Petrol ,255099
Volkswagen Polo,2020,Volkswagen,3676, Petrol ,1016999
Hyundai Grand i10,2013,Hyundai,41564, Petrol ,401499
Maruti Suzuki Ignis,2018,Maruti,5823, Petrol ,499199
Honda Civic,2019,Honda,80920, Diesel ,1388099
Hyundai Verna,2019,Hyundai,42686, Diesel ,994499
Hyundai Creta,2018,Hyundai,16173, Petrol ,1093599
Skoda Rapid,2021,Skoda,9999, Petrol ,1153399
Hyundai Elite i20,2016,Hyundai,47999, Petrol,579999
Hyundai i20 Active,2017,Hyundai,4000, Petrol ,650000
Volvo XC90 D5,2009,Volvo,92000, Diesel,850000
Mahindra XUV 500,2018,Mahindra,29800, Diesel,1450000
Mahindra XUV 700,2021,Mahindra,3400, Petrol,2100000
Hyundai i10 Magna,2011,Hyundai,34000, Petrol ,295000
Mercedes Benz A,2014,Mercedes,63000, Diesel ,1400000
Maruti Suzuki S,2020,Maruti,15000, Petrol,421000
Toyota Glanza,2021,Toyota,20107, Petrol ,817599
Volkswagen Polo,2017,Volkswagen,28247, Petrol ,505899
Maruti Suzuki Swift,2020,Maruti,22937, Petrol ,631399
Maruti Suzuki S,2021,Maruti,23329, Petrol + CNG ,546999
Hyundai Elite i20,2016,Hyundai,23942, Petrol ,561099
MG Motors Hector,2019,MG,18570, Petrol ,1737799
Hyundai i10 Magna,2011,Hyundai,24120, Petrol ,211599
Honda Jazz,2016,Honda,53015, Petrol ,497499
Skoda Rapid,2021,Skoda,4115, Petrol ,1118149
Hyundai Xcent,2015,Hyundai,62070, Petrol ,460799
Hyundai Grand i10,2019,Hyundai,32642, Petrol ,601799
Honda City VX,2015,Honda,94307, Petrol ,702499
Maruti Suzuki Alto,2019,Maruti,15104, Petrol ,359299
Maruti Suzuki Alto,2019,Maruti,11289, Petrol ,472099
